attention,meditation,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
24,97,148,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,236,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,236,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,-44,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,-121,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,73,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,128,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,128,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,128,118375,15447,5150,7056,4583,2225,2482,55401,0,0
24,97,74,118375,15447,5150,7056,4583,2225,2482,55401,0,0
29,88,166,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,196,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-131,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-131,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-51,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,161,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,268,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-53,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,41,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,41,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-45,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,119,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,119,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,170,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,59,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-116,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-107,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,35,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,35,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,118,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,234,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,22,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,22,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-107,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,17,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,17,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,201,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-6,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,232,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
29,88,-84,1945739,546040,349720,124604,52382,157064,17955,1879719,0,0
